record_id,phone,account_number,call_time,call_hour,call_result,age,mortgage_balance,tenure,account_holdings,retained,age_group,balance_group,tenure_group
111,850924870,ACC358633,01/04/2025 16:31,16,answer,28,270861.5842,17.61250764,5,1,25-35,Medium-High,Long-term
112,869424469,ACC932336,24/04/2025 15:29,15,answering machine,58,123828.1232,7.701797817,2,1,51-75,Low,Established
113,812865666,ACC840506,14/04/2025 16:53,16,answer,58,209662.3102,5.634849674,3,0,51-75,Medium-Low,Established
114,829084120,ACC618933,03/04/2025 14:03,14,answer,61,308515.164,14.44209399,3,1,51-75,Medium-High,Loyal
115,892398993,ACC477452,23/04/2025 15:23,15,no answer,52,230651.7414,18.32186924,3,1,51-75,Medium-Low,Long-term
116,851373190,ACC303200,21/04/2025 12:17,12,wrong number,68,249070.8978,21.19606273,4,1,51-75,Medium-Low,Long-term
117,825295585,ACC334168,03/04/2025 09:47,9,busy,52,393875.1127,7.080604872,5,0,51-75,High,Established
118,845491665,ACC400549,17/04/2025 14:33,14,no answer,45,339596.1285,13.11562084,2,1,36-50,High,Loyal
119,810947030,ACC479022,11/04/2025 16:50,16,answering machine,49,350695.0577,18.87490756,3,0,36-50,High,Long-term
120,893681093,ACC953960,21/04/2025 13:24,13,answer,57,239538.3087,11.5666509,4,1,51-75,Medium-Low,Loyal
121,870879376,ACC638692,11/04/2025 16:44,16,busy,49,286492.5829,0.116673825,3,0,36-50,Medium-High,New
122,850256118,ACC480120,15/04/2025 13:53,13,answering machine,64,406103.374,11.55725701,2,0,51-75,High,Loyal
123,849717055,ACC450628,25/04/2025 10:30,10,no answer,44,224157.4344,2.562286734,2,0,36-50,Medium-Low,New
124,855257389,ACC600340,04/04/2025 15:15,15,no answer,30,460113.4664,10.15296227,1,0,25-35,High,Loyal
125,895099185,ACC484575,14/04/2025 13:37,13,answering machine,49,348801.1,7.500060725,2,1,36-50,High,Established
126,870562026,ACC757919,02/04/2025 16:49,16,silence,25,301985.622,0,2,1,25-35,Medium-High,New
127,863423549,ACC346817,15/04/2025 10:04,10,no answer,48,380602.8448,17.2157589,4,1,36-50,High,Long-term
128,816361347,ACC889878,14/04/2025 09:36,9,answer,54,50000,0,3,1,51-75,Low,New
129,846103022,ACC798265,14/04/2025 12:52,12,answer,37,287248.6932,0,3,1,36-50,Medium-High,New
130,853542875,ACC678436,08/04/2025 12:15,12,answer,63,136134.1065,15.42053807,3,1,51-75,Low,Loyal
131,823365531,ACC330686,30/04/2025 12:59,12,answer,25,230753.3298,16.70539817,2,1,25-35,Medium-Low,Long-term
132,889381463,ACC694765,08/04/2025 13:15,13,no answer,68,304781.7108,0.344028666,4,0,51-75,Medium-High,New
133,844503876,ACC845079,23/04/2025 09:26,9,no answer,51,271765.5753,15.33902387,5,1,51-75,Medium-High,Loyal
134,880622787,ACC200020,14/04/2025 13:28,13,answer,25,273558.4832,0,5,0,25-35,Medium-High,New
135,844929932,ACC708412,01/04/2025 15:44,15,answer,75,337494.9554,18.33772618,4,1,51-75,High,Long-term
136,837657704,ACC815543,08/04/2025 13:46,13,dropped,53,276878.2334,7.710374964,2,0,51-75,Medium-High,Established
137,849998681,ACC636643,25/04/2025 09:38,9,answer,49,415492.2648,3.419822109,4,0,36-50,High,New
138,838701160,ACC286439,07/04/2025 09:58,9,no answer,26,238441.1676,13.43829049,3,0,25-35,Medium-Low,Loyal
139,826813105,ACC665072,28/04/2025 15:34,15,busy,40,107884.4926,15.45167151,2,1,36-50,Low,Loyal
140,832585934,ACC998923,14/04/2025 09:28,9,invalid number,50,239654.2921,6.160581595,2,0,36-50,Medium-Low,Established
141,811165312,ACC364253,07/04/2025 16:13,16,wrong party,52,298886.173,0,3,0,51-75,Medium-High,New
142,852987403,ACC966393,02/04/2025 09:48,9,answer,39,305220.3525,30,3,1,36-50,Medium-High,Long-term
143,884060673,ACC789902,21/04/2025 12:07,12,answering machine,62,370356.6771,14.84875898,2,1,51-75,High,Loyal
144,895216802,ACC910403,16/04/2025 16:09,16,answer,40,107319.7455,6.291134517,2,1,36-50,Low,Established
145,862443673,ACC853371,11/04/2025 16:43,16,invalid number,28,301818.1532,3.636419218,3,0,25-35,Medium-High,New
146,875255983,ACC812113,03/04/2025 15:06,15,dropped,41,392272.7581,10.66529418,1,0,36-50,High,Loyal
147,844246298,ACC667257,24/04/2025 11:16,11,answer,25,281901.1601,17.31632263,2,0,25-35,Medium-High,Long-term
148,847885161,ACC312173,07/04/2025 11:38,11,answer,47,205718.3311,0,5,0,36-50,Medium-Low,New
149,859925064,ACC264495,08/04/2025 09:24,9,answer,36,327427.1514,3.831477876,4,0,36-50,Medium-High,New
150,829676376,ACC211684,24/04/2025 16:07,16,stale,47,322466.9498,0,3,0,36-50,Medium-High,New
151,828437680,ACC667284,07/04/2025 11:14,11,answer,60,212278.9569,7.882912575,3,0,51-75,Medium-Low,Established
152,815190573,ACC432269,21/04/2025 11:43,11,no answer,41,360359.1039,2.211243032,2,0,36-50,High,New
153,813928822,ACC989338,23/04/2025 09:11,9,answer,55,201464.1099,13.60084992,2,0,51-75,Low,Loyal
154,840833909,ACC485498,28/04/2025 11:28,11,no answer,43,343471.1578,3.108150542,2,0,36-50,High,New
155,830001732,ACC996436,09/04/2025 13:08,13,no answer,67,279577.4467,3.077413208,1,0,51-75,Medium-High,New
156,884406165,ACC142552,14/04/2025 10:33,10,no answer,48,358161.8824,10.97985604,3,0,36-50,High,Loyal
157,879524311,ACC379805,10/04/2025 15:56,15,wrong number,67,368628.6724,3.388047292,2,0,51-75,High,New
158,822508768,ACC103192,03/04/2025 10:15,10,no answer,54,197669.0327,13.64707569,2,0,51-75,Low,Loyal
159,856033976,ACC909829,21/04/2025 09:29,9,answer,45,253261.3217,18.23526096,5,1,36-50,Medium-Low,Long-term
160,892262549,ACC962099,07/04/2025 12:37,12,no answer,32,220110.1609,8.564508494,4,1,25-35,Medium-Low,Established
161,892529303,ACC741116,01/04/2025 15:26,15,no answer,39,274151.0059,8.972138625,4,0,36-50,Medium-High,Established
162,873192198,ACC549292,07/04/2025 09:14,9,answering machine,45,243890.7239,12.95773324,2,1,36-50,Medium-Low,Loyal
163,851606100,ACC103337,17/04/2025 16:25,16,busy,60,321224.1651,0,3,1,51-75,Medium-High,New
164,855453286,ACC858275,10/04/2025 12:27,12,answer,25,184961.6281,15.3413719,4,1,25-35,Low,Loyal
165,884255626,ACC771226,23/04/2025 10:09,10,answer,55,321808.7979,7.749854237,3,0,51-75,Medium-High,Established
166,829171895,ACC419253,28/04/2025 09:14,9,answer,50,279449.7742,14.95449403,5,1,36-50,Medium-High,Loyal
167,815690456,ACC506155,09/04/2025 16:10,16,answer,45,322375.9765,11.66701789,3,1,36-50,Medium-High,Loyal
168,821976155,ACC457379,11/04/2025 15:57,15,no answer,58,186553.6849,0,3,1,51-75,Low,New
169,852655660,ACC560178,07/04/2025 15:42,15,answer,42,393620.4464,8.23507685,4,0,36-50,High,Established
170,856305751,ACC506556,29/04/2025 14:10,14,no answer,42,274470.8358,24.39397632,1,0,36-50,Medium-High,Long-term
171,879588102,ACC850970,01/04/2025 16:03,16,answer,50,146379.902,12.79465531,4,1,36-50,Low,Loyal
172,880610832,ACC944772,08/04/2025 13:34,13,answer,44,261769.7399,9.908937826,2,1,36-50,Medium-Low,Established
173,827390707,ACC369936,22/04/2025 11:42,11,no answer,42,244142.9126,8.719086721,4,0,36-50,Medium-Low,Established
174,860005504,ACC888966,04/04/2025 12:37,12,no answer,55,324877.6031,10.54377586,2,0,51-75,Medium-High,Loyal
175,878378164,ACC905366,30/04/2025 16:49,16,callback error,36,243515.8113,15.67798714,4,1,36-50,Medium-Low,Loyal
176,834181005,ACC765415,14/04/2025 14:41,14,answer,37,209471.2907,14.3650393,5,1,36-50,Medium-Low,Loyal
177,844406227,ACC162980,28/04/2025 11:53,11,answering machine,49,263810.0252,8.442928517,3,0,36-50,Medium-Low,Established
178,822660167,ACC357284,01/04/2025 11:27,11,no answer,75,431931.6671,17.54310536,1,1,51-75,High,Long-term
179,869335255,ACC798912,14/04/2025 09:20,9,answer,25,152566.9854,18.70904976,2,1,25-35,Low,Long-term
180,818976935,ACC563644,14/04/2025 11:06,11,stale,49,159772.1773,28.92595253,2,1,36-50,Low,Long-term
181,899386644,ACC233299,07/04/2025 13:41,13,answer,44,274188.578,5.439203791,1,1,36-50,Medium-High,Established
182,886814907,ACC923375,24/04/2025 15:56,15,no answer,25,370908.9438,24.38532885,4,1,25-35,High,Long-term
183,814352844,ACC113271,28/04/2025 14:20,14,answering machine,49,237416.7101,2.781801862,3,0,36-50,Medium-Low,New
184,812177073,ACC243922,21/04/2025 11:42,11,answer,49,261381.8827,18.78798293,2,1,36-50,Medium-Low,Long-term
185,858422162,ACC624715,23/04/2025 09:24,9,answering machine,67,447930.4926,9.45619632,4,0,51-75,High,Established
186,880301012,ACC221923,11/04/2025 13:49,13,answering machine,25,373169.5467,2.599794366,2,0,25-35,High,New
187,875394223,ACC819040,16/04/2025 10:38,10,answer,61,232331.1701,10.29069518,3,0,51-75,Medium-Low,Loyal
188,896598338,ACC329373,04/04/2025 15:23,15,no answer,52,277739.4794,10.71093357,1,0,51-75,Medium-High,Loyal
189,852978526,ACC575077,11/04/2025 15:31,15,no answer,54,85706.00306,3.614415196,1,1,51-75,Low,New
190,885225955,ACC770683,24/04/2025 14:18,14,answer,53,179128.6551,30,2,1,51-75,Low,Long-term
191,852224321,ACC137788,21/04/2025 15:50,15,answer,34,343620.3948,0,2,1,25-35,High,New
192,857540065,ACC110410,11/04/2025 11:18,11,answer,51,153145.694,26.44033516,4,1,51-75,Low,Long-term
193,841582964,ACC686076,24/04/2025 09:46,9,answer,51,394228.3214,12.96995002,3,1,51-75,High,Loyal
194,850280335,ACC161215,25/04/2025 15:59,15,general error,25,217133.0962,6.816749757,3,1,25-35,Medium-Low,Established
195,823303571,ACC959725,21/04/2025 15:14,15,answer,61,284749.5527,5.277868789,1,1,51-75,Medium-High,Established
196,832502082,ACC720146,25/04/2025 10:40,10,dropped,37,328863.3859,4.672913511,4,0,36-50,Medium-High,Established
197,837421766,ACC413694,28/04/2025 10:17,10,answer,33,158791.0512,14.04021006,4,1,25-35,Low,Loyal
198,888083717,ACC933918,14/04/2025 12:44,12,answer,38,246908.0426,11.84279735,3,1,36-50,Medium-Low,Loyal
199,895152107,ACC628300,29/04/2025 13:04,13,answering machine,57,294594.75,15.59597815,4,1,51-75,Medium-High,Loyal
200,863412830,ACC629982,18/04/2025 11:00,11,answer,43,299016.7494,26.73525192,5,1,36-50,Medium-High,Long-term
201,880794817,ACC365261,21/04/2025 15:43,15,abandoned,49,253878.721,13.58792636,5,0,36-50,Medium-Low,Loyal
202,844919699,ACC984162,04/04/2025 16:06,16,answering machine,27,220316.1428,7.79556825,3,1,25-35,Medium-Low,Established
203,870892810,ACC797568,10/04/2025 15:09,15,answer,35,327251.7762,11.95635442,3,1,25-35,Medium-High,Loyal
204,816230106,ACC141028,22/04/2025 09:34,9,answer,51,374041.0848,4.474896956,4,0,51-75,High,Established
205,885179832,ACC688994,30/04/2025 12:03,12,no answer,73,251531.8765,0,1,0,51-75,Medium-Low,New
206,889903540,ACC905579,14/04/2025 13:31,13,no answer,54,331161.3381,0,5,0,51-75,Medium-High,New
207,841966643,ACC650753,23/04/2025 16:11,16,answering machine,59,260309.4873,25.84093826,3,0,51-75,Medium-Low,Long-term
208,895192155,ACC842090,15/04/2025 12:00,12,answer,43,242434.8146,14.28634171,2,1,36-50,Medium-Low,Loyal
209,842159700,ACC707869,04/04/2025 14:11,14,answering machine,37,422340.7066,7.284272997,2,0,36-50,High,Established
210,889947242,ACC543335,28/04/2025 13:52,13,answer,42,284984.7231,16.22902447,1,0,36-50,Medium-High,Long-term
211,880429157,ACC695160,07/04/2025 15:38,15,no answer,44,109517.121,0,3,0,36-50,Low,New
212,889785400,ACC449791,24/04/2025 15:59,15,answer,51,202023.3425,1.838935586,3,1,51-75,Low,New
213,814775846,ACC732911,04/04/2025 13:20,13,no answer,67,153870.2361,0.235089185,1,0,51-75,Low,New
214,884091731,ACC866222,22/04/2025 15:12,15,answer,51,160929.9778,30,4,1,51-75,Low,Long-term
215,874077265,ACC569975,23/04/2025 11:34,11,no answer,75,203551.4535,1.546315365,1,0,51-75,Medium-Low,New
216,889216726,ACC858908,22/04/2025 13:59,13,answer,32,174730.5449,0,4,1,25-35,Low,New
217,890509333,ACC197417,11/04/2025 12:57,12,answer,42,67634.09105,27.77495234,4,1,36-50,Low,Long-term
218,827859779,ACC652923,17/04/2025 13:11,13,answer,36,280528.8189,7.576148465,3,0,36-50,Medium-High,Established
219,844473795,ACC276655,15/04/2025 16:03,16,stale,49,263345.8815,0,1,0,36-50,Medium-Low,New
220,836394990,ACC409345,17/04/2025 15:58,15,wrong party,42,299258.1642,6.036750405,2,0,36-50,Medium-High,Established
221,843438131,ACC439248,28/04/2025 11:40,11,answer,54,254263.3066,13.44646445,2,1,51-75,Medium-Low,Loyal
222,816446831,ACC501790,14/04/2025 11:31,11,wrong party,32,97270.72574,18.72378723,4,1,25-35,Low,Long-term
223,811518922,ACC821062,28/04/2025 14:35,14,answering machine,71,445912.0433,15.53987219,2,0,51-75,High,Loyal
224,831316278,ACC190675,28/04/2025 12:02,12,answer,52,357774.9538,9.311591905,5,1,51-75,High,Established
225,840388813,ACC578564,08/04/2025 10:50,10,no answer,33,382414.007,4.677932352,2,0,25-35,High,Established
226,843376809,ACC978665,29/04/2025 10:55,10,invalid number,72,234591.6951,3.336836454,1,1,51-75,Medium-Low,New
227,828896368,ACC266014,24/04/2025 13:14,13,no answer,44,165801.7353,0,4,0,36-50,Low,New
228,824077117,ACC886180,07/04/2025 14:18,14,answer,25,159698.0442,19.43843206,2,1,25-35,Low,Long-term
229,811279327,ACC342730,14/04/2025 09:27,9,wrong number,62,398111.8772,7.313659146,1,0,51-75,High,Established
230,875151208,ACC650742,02/04/2025 13:46,13,answer,43,321984.2622,14.11811826,3,1,36-50,Medium-High,Loyal
231,899845423,ACC208808,11/04/2025 14:04,14,answer,46,210140.0053,21.51156004,4,1,36-50,Medium-Low,Long-term
232,899543382,ACC527369,08/04/2025 12:34,12,busy,69,409413.1635,0,2,0,51-75,High,New
233,864006528,ACC626905,25/04/2025 12:25,12,answering machine,53,300923.0745,2.713263972,2,1,51-75,Medium-High,New
234,873661108,ACC792815,03/04/2025 12:42,12,answer,53,336861.5038,7.653250266,2,1,51-75,High,Established
235,860970006,ACC937628,14/04/2025 12:19,12,answer,48,184545.4962,20.99324004,5,0,36-50,Low,Long-term
236,856240325,ACC974050,09/04/2025 12:08,12,no answer,43,263339.4476,22.94120819,3,1,36-50,Medium-Low,Long-term
237,816282069,ACC704471,28/04/2025 14:54,14,abandoned,70,227033.8593,13.79751402,2,0,51-75,Medium-Low,Loyal
